user,title,head
慘過番印度,唔知點解係機場見到啲人騎電動喼，就下意識覺得佢應該係on9仔嚟,是？#wail#pig
慘過番印度,有冇人其實好想放縱自己，爆食一個菠蘿油？,是？#wail#pig
慘過番印度,其實中國有D自然景點真係靚過日本，但成個旅遊體驗無得比,諗起人逼人狂打尖#wail#pig\n仲有D公廁既衛生情況#wail#pig
慘過番印度,去完廣島發覺宮島真係好靚,是？#wail#pig
慘過番印度,發覺扑野家真係好耐無食過,牡丹樓有時出新味嘅雪糕/包都會去試#wail#pig\n扑野家真係幾年來一次都無食過#wail#pig
慘過番印度,今日試咗一間新cafe,是#wail#pig\n環境幾靚，咖啡都唔錯#wail#pig
慘過番印度,點解啲人咁鍾意食辣,是？#wail#pig\n我食咗一啖就喊#wail#pig
慘過番印度,是靚午 咖喱牛腩飯,咖喱牛腩飯#wail#pig\n（$55）#wail#pig\n講吓味道先#wail#pig
慘過番印度,是靚午 黑椒豬扒飯,黑椒豬扒飯#wail#pig\n（$50）#wail#pig\n講吓味道先#wail#pig\n豬扒煎得香口#wail#pig
慘過番印度,點解啲人咁鍾意影相放上網,是？#wail#pig\n我影完都係自己睇#wail#pig
慘過番印度,是靚午 日式豚骨拉麵,日式豚骨拉麵#wail#pig\n（$62）#wail#pig\n講吓味道先#wail#pig\n湯底濃郁得來唔太鹹#wail#pig
慘過番印度,見到個靚女同一個怪男一齊,真係唔明白#wail#pig
慘過番印度,是靚午 燒鴨飯,燒鴨飯#wail#pig\n（$45）#wail#pig\n講吓味道先#wail#pig\n鴨皮脆得好正#wail#pig
慘過番印度,最近天氣熱到傻,是#wail#pig\n出街即刻變人乾#wail#pig
慘過番印度,是靚午 椒鹽魷魚飯,椒鹽魷魚飯#wail#pig\n（$52）#wail#pig\n講吓味道先#wail#pig\n魷魚炸得香脆#wail#pig
慘過番印度,點解啲人鍾意早起,我完全唔明白，是？#wail#pig
慘過番印度,是靚午 牛肉炒烏冬,牛肉炒烏冬#wail#pig\n（$58）#wail#pig\n講吓味道先#wail#pig\n牛肉嫩滑好入味#wail#pig
慘過番印度,見到個阿叔係街跳舞,好有型，是#wail#pig
慘過番印度,是靚午 蔥油雞絲撈麵,蔥油雞絲撈麵#wail#pig\n（$48）#wail#pig\n講吓味道先#wail#pig\n蔥油香得來唔油膩#wail#pig
慘過番印度,發現自己愈來愈似中年人,是#wail#pig\n生活悶到爆#wail#pig
慘過番印度,是靚午 叉燒飯,叉燒飯#wail#pig\n（$46）#wail#pig\n講吓味道先#wail#pig\n叉燒甜甜地好juicy#wail#pig
慘過番印度,點解啲人咁鍾意去旅行,我只想瞓覺，是？#wail#pig
慘過番印度,是靚午 泰式綠咖喱雞飯,泰式綠咖喱雞飯#wail#pig\n（$60）#wail#pig\n講吓味道先#wail#pig\n咖喱香辣過癮#wail#pig
慘過番印度,見到個細路係地鐵食薯條,好似好爽，是#wail#pig
慘過番印度,是靚午 豉汁蒸排骨飯,豉汁蒸排骨飯#wail#pig\n（$49）#wail#pig\n講吓味道先#wail#pig\n排骨軟腍入味#wail#pig
慘過番印度,突然好想食雪糕,是？#wail#pig\n天氣熱到溶#wail#pig
慘過番印度,是靚午 沙爹牛肉串配飯,沙爹牛肉串配飯#wail#pig\n（$54）#wail#pig\n講吓味道先#wail#pig\n沙爹汁濃香#wail#pig
慘過番印度,見到個婆婆係公園做瑜伽,好精神，是#wail#pig
慘過番印度,是靚午 韓式辣雞飯,韓式辣雞飯#wail#pig\n（$57）#wail#pig\n講吓味道先#wail#pig\n辣得夠爽#wail#pig
慘過番印度,點解啲人咁鍾意飲奶茶,我飲完胃痛，是？#wail#pig
慘過番印度,是靚午 蒜香牛油焗龍蝦,蒜香牛油焗龍蝦#wail#pig\n（$68）#wail#pig\n講吓味道先#wail#pig\n龍蝦肉彈牙香濃#wail#pig
慘過番印度,見到個怪女係街自拍不停,是#wail#pig\n影咗成十張#wail#pig
慘過番印度,是靚午 麻婆豆腐飯,麻婆豆腐飯#wail#pig\n（$50）#wail#pig\n講吓味道先#wail#pig\n辣得過癮#wail#pig
慘過番印度,突然覺得人生好迷茫,是#wail#pig\n日日返工好似機械人#wail#pig
慘過番印度,是靚午 椒鹽雞翼配飯,椒鹽雞翼配飯#wail#pig\n（$53）#wail#pig\n講吓味道先#wail#pig\n雞翼脆口好香#wail#pig
慘過番印度,見到個uncle係巴士唱歌,好有feel，是#wail#pig
慘過番印度,是靚午 海南雞飯,海南雞飯#wail#pig\n（$55）#wail#pig\n講吓味道先#wail#pig\n雞肉嫩滑唔乾#wail#pig
慘過番印度,點解啲人鍾意跑步,我跑兩步就喘，是？#wail#pig
慘過番印度,是靚午 炸魚薯條,炸魚薯條#wail#pig\n（$60）#wail#pig\n講吓味道先#wail#pig\n魚炸得金黃脆口#wail#pig
慘過番印度,發現個新開嘅甜品店,好似幾吸引，是#wail#pig
慘過番印度,是靚午 宮保雞丁飯,宮保雞丁飯#wail#pig\n（$52）#wail#pig\n講吓味道先#wail#pig\n酸甜辣好開胃#wail#pig
慘過番印度,見到個靚仔係街同狗仔玩,好warm，是#wail#pig
慘過番印度,是靚午 椒鹽蝦飯,椒鹽蝦飯#wail#pig\n（$58）#wail#pig\n講吓味道先#wail#pig\n蝦肉彈牙鮮甜#wail#pig
慘過番印度,突然好想去海邊吹風,是？#wail#pig\n日日困係室內好悶#wail#pig
慘過番印度,是靚午 牛柳炒飯,牛柳炒飯#wail#pig\n（$56）#wail#pig\n講吓味道先#wail#pig\n牛柳嫩得好正#wail#pig
慘過番印度,見到個阿姐係街賣花,好似好辛苦，是#wail#pig
慘過番印度,是靚午 燒鵝飯,燒鵝飯#wail#pig\n（$59）#wail#pig\n講吓味道先#wail#pig\n鵝皮脆香多汁#wail#pig
慘過番印度,點解啲人咁鍾意食甜,我食多兩啖就膩，是？#wail#pig
慘過番印度,是靚午 豬軟骨湯飯,豬軟骨湯飯#wail#pig\n（$51）#wail#pig\n講吓味道先#wail#pig\n湯清甜好飲#wail#pig
慘過番印度,見到個細女係公園跑來跑去,好可愛，是#wail#pig
慘過番印度,是靚午 芝士焗飯,芝士焗飯#wail#pig\n（$62）#wail#pig\n講吓味道先#wail#pig\n芝士拉絲好滿足#wail#pig
慘過番印度,突然覺得自己好似老咗,是#wail#pig\n照鏡見到眼袋#wail#pig
慘過番印度,是靚午 魚香茄子飯,魚香茄子飯#wail#pig\n（$48）#wail#pig\n講吓味道先#wail#pig\n茄子軟腍入味#wail#pig
慘過番印度,見到個怪男係街講電話大聲夾惡,是#wail#pig
慘過番印度,是靚午 牛腩撈麵,牛腩撈麵#wail#pig\n（$54）#wail#pig\n講吓味道先#wail#pig\n牛腩炆得夠腍#wail#pig
慘過番印度,點解啲人咁鍾意飲咖啡,我飲完心跳加速，是？#wail#pig
慘過番印度,是靚午 香煎三文魚定食,香煎三文魚定食#wail#pig\n（$65）#wail#pig\n講吓味道先#wail#pig\n三文魚煎得外脆內嫩#wail#pig
慘過番印度,見到個阿嬸係街執紙皮,好似好唔容易．是#wail#pig
慘過番印度,是靚午 椒鹽豬手飯,椒鹽豬手飯#wail#pig\n（$57）#wail#pig\n講吓味道先#wail#pig\n豬手香脆唔油膩#wail#pig
慘過番印度,突然好想食朱古力,是？#wail#pig\n壓力大到爆#wail#pig
慘過番印度,是靚午 牛油果沙律配雞胸,牛油果沙律配雞胸#wail#pig\n（$60）#wail#pig\n講吓味道先#wail#pig\n清新又夠飽#wail#pig
慘過番印度,見到個靚女係街同朋友笑得好開心,是#wail#pig
慘過番印度,是靚午 麻辣牛肉麵,麻辣牛肉麵#wail#pig\n（$58）#wail#pig\n講吓味道先#wail#pig\n麻辣味夠勁#wail#pig
慘過番印度,點解啲人咁鍾意睇劇,我睇兩集就悶，是？#wail#pig
慘過番印度,是靚午 芝麻雞翼配飯,芝麻雞翼配飯#wail#pig\n（$53）#wail#pig\n講吓味道先#wail#pig\n芝麻香好特別#wail#pig
慘過番印度,見到個uncle係街同雀仔玩,好有愛心，是#wail#pig
慘過番印度,是靚午 豬扒撈麵,豬扒撈麵#wail#pig\n（$50）#wail#pig\n講吓味道先#wail#pig\n豬扒煎得夠Juicy#wail#pig
慘過番印度,突然覺得香港嘅冬天好短,是#wail#pig\n未凍夠就熱返#wail#pig
慘過番印度,是靚午 咖喱魚蛋飯,咖喱魚蛋飯#wail#pig\n（$46）#wail#pig\n講吓味道先#wail#pig\n咖喱濃郁夠味#wail#pig
慘過番印度,見到個怪女係街同自己講野,是#wail#pig\n有啲驚#wail#pig
慘過番印度,是靚午 燒牛肉飯,燒牛肉飯#wail#pig\n（$59）#wail#pig\n講吓味道先#wail#pig\n牛肉燒得香口#wail#pig
慘過番印度,點解啲人咁鍾意食生蠔,我覺得腥，是？#wail#pig
慘過番印度,是靚午 薑蔥蒸魚飯,薑蔥蒸魚飯#wail#pig\n（$55）#wail#pig\n講吓味道先#wail#pig\n魚肉鮮嫩唔腥#wail#pig
慘過番印度,見到個細路係街同爸爸玩得好開心,是#wail#pig
慘過番印度,是靚午 黑椒牛柳飯,黑椒牛柳飯#wail#pig\n（$60）#wail#pig\n講吓味道先#wail#pig\n黑椒味濃夠香#wail#pig
慘過番印度,突然好想飲凍檸茶,是？#wail#pig\n熱到傻#wail#pig
慘過番印度,是靚午 咖喱雞翼飯,咖喱雞翼飯#wail#pig\n（$52）#wail#pig\n講吓味道先#wail#pig\n咖喱香辣好食#wail#pig
慘過番印度,見到個阿姐係街賣生果,笑得好甜．是#wail#pig
慘過番印度,是靚午 椒鹽雞柳飯,椒鹽雞柳飯#wail#pig\n（$54）#wail#pig\n講吓味道先#wail#pig\n雞柳嫩滑夠味#wail#pig
慘過番印度,點解啲人咁鍾意食火鍋,我覺得好熱氣，是？#wail#pig
慘過番印度,是靚午 蒜香牛柳飯,蒜香牛柳飯#wail#pig\n（$58）#wail#pig\n講吓味道先#wail#pig\n蒜香濃郁好正#wail#pig
慘過番印度,見到個婆婆係街慢慢行,好似好悠閒，是#wail#pig
慘過番印度,是靚午 燒春雞飯,燒春雞飯#wail#pig\n（$62）#wail#pig\n講吓味道先#wail#pig\n雞皮脆肉嫩#wail#pig
慘過番印度,突然覺得自己好似無咗目標,是#wail#pig\n日日過得好似copy paste#wail#pig
慘過番印度,是靚午 薑汁撞奶配飯,薑汁撞奶配飯#wail#pig\n（$48）#wail#pig\n講吓味道先#wail#pig\n薑味夠暖胃#wail#pig
慘過番印度,見到個靚仔係街同女友拖手,好sweet，是#wail#pig
